,Class,X,Y
0,CD8+,10156,3956
1,CD8+,10172,3946
2,CD8+,10216,3925
3,CD8+,10292,3960
4,FOXP3-CD4+,10322,3913
5,FOXP3-CD4+,10607,3939
6,FOXP3-CD4+,11567,3635
7,FOXP3-CD4+,11586,3598
8,FOXP3-CD4+,11612,3493
9,FOXP3-CD4+,11625,3569
10,FOXP3-CD4+,11630,3520
11,FOXP3-CD4+,11639,3723
12,CD8+,11646,3746
13,FOXP3-CD4+,11650,3905
14,CD8+,11658,3874
15,CD8+,11662,3782
16,CD8+,11662,3833
17,CD8+,11668,3885
18,FOXP3-CD4+,11689,3787
19,CD8+,11697,3845
20,CD8+,11701,3730
21,CD8+,11702,3792
22,CD8+,11707,3983
23,CD8+,11719,3889
24,CD8+,11732,3819
25,CD8+,11740,3943
26,CD8+,11753,3935
27,CD8+,11763,3760
28,CD8+,11791,3662
29,CD8+,11804,3731
30,FOXP3-CD4+,11806,3956
31,FOXP3-CD4+,11815,3762
32,CD8+,11821,3860
33,FOXP3-CD4+,11822,3785
34,FOXP3-CD4+,11832,3771
35,CD8+,11848,3630
36,FOXP3-CD4+,11867,3841
37,FOXP3-CD4+,11868,3604
38,FOXP3-CD4+,11876,3525
39,FOXP3-CD4+,11884,3608
40,CD8+,11897,3832
41,CD8+,11904,3589
42,CD8+,11918,3544
43,FOXP3-CD4+,11935,3569
44,CD8+,11935,3941
45,CD8+,11935,3967
46,FOXP3-CD4+,11970,3727
47,CD8+,11973,3424
48,CD8+,12014,3371
49,CD8+,12015,3744
50,FOXP3+CD4+,12018,3461
51,CD8+,12019,3907
52,FOXP3-CD4+,12024,3405
53,CD8+,12035,3687
54,FOXP3-CD4+,12036,3786
55,CD8+,12041,3389
56,CD8+,12041,3856
57,FOXP3-CD4+,12042,3607
58,FOXP3-CD4+,12045,3467
59,FOXP3-CD4+,12046,3335
60,CD8+,12060,3754
61,FOXP3-CD4+,12066,3362
62,FOXP3-CD4+,12073,3378
63,CD8+,12078,3406
64,FOXP3-CD4+,12082,3573
65,FOXP3-CD4+,12083,3725
66,FOXP3-CD4+,12085,3307
67,CD8+,12097,3316
68,FOXP3+CD4+,12098,3285
69,FOXP3-CD4+,12109,3360
70,FOXP3-CD4+,12109,3616
71,CD8+,12115,3643
72,FOXP3-CD4+,12124,3196
73,FOXP3-CD4+,12141,3813
74,CD8+,12147,3361
75,FOXP3-CD4+,12147,3378
76,FOXP3-CD4+,12150,3394
77,FOXP3-CD4+,12153,3663
78,FOXP3-CD4+,12155,3859
79,FOXP3-CD4+,12161,3362
80,FOXP3-CD4+,12164,3335
81,FOXP3-CD4+,12164,3530
82,FOXP3+CD4+,12165,3200
83,FOXP3-CD4+,12192,3208
84,FOXP3-CD4+,12193,3261
85,CD8+,12199,3426
86,CD8+,12199,3592
87,CD8+,12210,3247
88,CD8+,12215,3324
89,CD8+,12215,3342
90,CD8+,12215,3536
91,FOXP3-CD4+,12219,3227
92,CD8+,12221,3092
93,CD8+,12226,3297
94,FOXP3+CD4+,12228,3806
95,FOXP3-CD4+,12230,2965
96,CD8+,12235,3260
97,FOXP3-CD4+,12235,3887
98,CD8+,12240,3207
99,CD8+,12242,3547
100,CD8+,12255,3027
101,FOXP3-CD4+,12255,3776
102,CD8+,12259,3098
103,CD8+,12259,3907
104,CD8+,12261,2955
105,FOXP3-CD4+,12262,2907
106,FOXP3-CD4+,12263,3056
107,CD8+,12269,3340
108,FOXP3-CD4+,12277,3722
109,FOXP3+CD4+,12278,3166
110,CD8+,12279,2870
111,CD8+,12280,3082
112,CD8+,12281,3323
113,CD8+,12281,3917
114,FOXP3-CD4+,12282,3586
115,CD8+,12285,3755
116,FOXP3-CD4+,12287,2852
117,CD8+,12287,3485
118,CD8+,12288,3879
119,CD8+,12289,3262
120,FOXP3-CD4+,12289,3444
121,CD8+,12296,2986
122,CD8+,12297,3279
123,FOXP3-CD4+,12299,3698
124,FOXP3-CD4+,12300,3098
125,CD8+,12300,3160
126,FOXP3-CD4+,12300,3186
127,CD8+,12306,2886
128,FOXP3-CD4+,12306,3622
129,CD8+,12308,3170
130,FOXP3-CD4+,12310,3507
131,CD8+,12311,3490
132,FOXP3-CD4+,12314,3640
133,FOXP3+CD4+,12316,2929
134,CD8+,12317,3916
135,FOXP3-CD4+,12319,3654
136,CD8+,12323,3542
137,CD8+,12324,3370
138,CD8+,12324,3946
139,CD8+,12329,2965
140,CD8+,12331,3123
141,CD8+,12335,3159
142,CD8+,12348,3156
143,CD8+,12350,3128
144,FOXP3-CD4+,12352,3199
145,FOXP3-CD4+,12363,3165
146,FOXP3-CD4+,12363,3231
147,FOXP3-CD4+,12369,3258
148,FOXP3-CD4+,12369,3504
149,CD8+,12375,2976
150,CD8+,12384,3292
151,FOXP3-CD4+,12389,3145
152,FOXP3-CD4+,12390,3937
153,FOXP3-CD4+,12392,3898
154,FOXP3-CD4+,12399,3268
155,CD8+,12402,3184
156,FOXP3-CD4+,12403,3135
157,FOXP3-CD4+,12407,3243
158,CD8+,12413,2892
159,CD8+,12415,3852
160,FOXP3-CD4+,12416,3962
161,FOXP3-CD4+,12421,3389
162,CD8+,12423,3129
163,CD8+,12423,3200
164,FOXP3-CD4+,12426,2863
165,CD8+,12426,3060
166,CD8+,12426,3406
167,CD8+,12426,3485
168,CD8+,12427,3032
169,CD8+,12428,3044
170,CD8+,12437,3868
